"plot","lat.x","lon.x","lon.y","lat.y","distance"
"NN1",42.93894444,144.6749167,144.625,42.875,8.19969871314357
"NN2",42.93919444,144.6743889,144.625,42.875,8.2026525033475
"NN3",42.93961111,144.6738611,144.625,42.875,8.22214806494777
"NN4",42.94,144.6733611,144.625,42.875,8.2404524694299
"NN5",42.94019444,144.6731111,144.625,42.875,8.24974978515838
"MZ1",43.04977778,144.7784444,144.875,43.125,11.4777110366582
"MZ2",43.04972222,144.7783611,144.875,43.125,11.4868573242675
"MZ3",43.04972222,144.7781944,144.875,43.125,11.4961308660632
"MZ4",43.04977778,144.7780556,144.875,43.125,11.4993517943089
"MZ5",43.04988889,144.77775,144.875,43.125,11.5073987422998
"AP1",43.01652778,144.8335,144.875,43.125,12.5378038253031
"AP2",43.01686111,144.8335,144.875,43.125,12.5020686870813
"AP3",43.01716667,144.8338611,144.875,43.125,12.4614023987788
"AP4",43.01813889,144.8342778,144.875,43.125,12.3480447647355
"AP5",43.01819444,144.83425,144.875,43.125,12.3426939426455
"MB1",42.98733333,144.8896667,144.875,42.875,12.5618969779496
"MB2",42.98733333,144.8898056,144.875,42.875,12.562979361276
"MB3",42.98727778,144.8899444,144.875,42.875,12.5579164603803
"MB4",42.98680556,144.8905833,144.875,42.875,12.5107778699303
"MB5",42.98661111,144.8906944,144.875,42.875,12.4901681777739
"MC1",43.01716667,145.0251111,145.125,43.125,14.4940263998947
"MC2",43.01725,145.0250556,145.125,43.125,14.4888728351424
"MC3",43.01733333,145.0248611,145.125,43.125,14.4900741396674
"MC4",43.01744444,145.0248611,145.125,43.125,14.4798409409244
"MC5",43.01783333,145.0245278,145.125,43.125,14.45934834108
